timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1635078641259,252,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,157255,26133,7,7,null,0,2073,3
1635078643332,252,Open Post,200,OK,Editor script 1-1,text,true,,157255,26133,7,7,http://192.168.1.87/blog/post/o-sY1jId-GTpdkjIf9-cTi-j1,48,0,3
1635078641326,188,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,154823,24888,7,7,null,0,2335,0
1635078643661,188,Open Predefined Date,200,OK,Editor script 1-3,text,true,,154823,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,13,0,0
1635078642539,119,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,153264,9719,7,7,null,0,2100,0
1635078644638,119,Open Home Page,200,OK,Editor script 1-6,text,true,,153264,9719,7,7,http://192.168.1.87/blog/,7,0,0
1635078642703,145,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,153696,10942,7,7,null,0,2102,0
1635078644805,145,Log out,200,OK,Editor script 1-7,text,true,,153696,10942,7,7,http://192.168.1.87/blog/,3,0,0
1635078642733,192,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,157175,26133,7,7,null,0,2458,3
1635078645191,192,Open Post,200,OK,Editor script 1-2,text,true,,157175,26133,7,7,http://192.168.1.87/blog/post/o-sY1jId-GTpdkjIf9-cTi-j1,21,0,3
1635078643276,135,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,154788,24888,7,7,null,0,2381,0
1635078645656,135,Open Predefined Date,200,OK,Editor script 1-4,text,true,,154788,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,9,0,0
1635078643504,183,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,161724,25935,7,7,null,0,2411,0
1635078645915,183,Log into Account,200,OK,Editor script 1-5,text,true,,161724,25935,7,7,http://192.168.1.87/blog/,5,0,0
1635078643584,20,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,182,2012,7,7,null,0,2495,2
1635078646079,20,Edit Post,200,OK,Editor script 1-1,,true,,182,2012,7,7,http://192.168.1.87/blog/api/posts/update/foo,20,0,2
1635078643849,173,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,157762,26135,7,7,null,0,2468,0
1635078646316,173,Open Post,200,OK,Editor script 1-3,text,true,,157762,26135,7,7,http://192.168.1.87/blog/post/Gq3UeljfCS-ViLa-GP-oHhTWvH1,13,0,0
1635078644758,216,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,161861,25934,7,7,null,0,2114,0
1635078646871,216,Log into Account,200,OK,Editor script 1-6,text,true,,161861,25934,7,7,http://192.168.1.87/blog/,13,0,0
1635078644950,173,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,153123,9719,7,7,null,0,2478,0
1635078647427,173,Open Home Page,200,OK,Editor script 1-7,text,true,,153123,9719,7,7,http://192.168.1.87/blog/,29,0,0
1635078645383,40,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,182,2012,7,7,null,0,2327,0
1635078647710,40,Edit Post,200,OK,Editor script 1-2,,true,,182,2012,7,7,http://192.168.1.87/blog/api/posts/update/foo,40,0,0
1635078645792,198,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,157398,26140,7,7,null,0,2113,0
1635078647904,198,Open Post,200,OK,Editor script 1-4,text,true,,157398,26140,7,7,http://192.168.1.87/blog/post/1IMHZ-bzMXkRmX10n7J2-RUyH2-fkkR1,10,0,0
1635078646099,275,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,153558,10942,7,7,null,0,2058,2
1635078648156,275,Log out,200,OK,Editor script 1-1,text,true,,153558,10942,7,7,http://192.168.1.87/blog/,12,0,2
1635078646098,174,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,154751,24888,7,7,null,0,2316,0
1635078648413,174,Open Predefined Date,200,OK,Editor script 1-5,text,true,,154751,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,9,0,0
1635078646490,20,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,182,2018,7,7,null,0,2136,0
1635078648626,20,Edit Post,200,OK,Editor script 1-3,,true,,182,2018,7,7,http://192.168.1.87/blog/api/posts/update/foo,20,0,0
1635078647088,169,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,154845,24888,7,7,null,0,2357,0
1635078649445,169,Open Predefined Date,200,OK,Editor script 1-6,text,true,,154845,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,13,0,0
1635078647750,131,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,153668,10942,7,7,null,0,2044,0
1635078649794,131,Log out,200,OK,Editor script 1-2,text,true,,153668,10942,7,7,http://192.168.1.87/blog/,2,0,0
1635078647601,170,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,161619,25935,7,7,null,0,2363,0
1635078649963,170,Log into Account,200,OK,Editor script 1-7,text,true,,161619,25935,7,7,http://192.168.1.87/blog/,3,0,0
1635078648103,13,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,182,1942,7,7,null,0,2055,0
1635078650158,13,Edit Post,200,OK,Editor script 1-4,,true,,182,1942,7,7,http://192.168.1.87/blog/api/posts/update/foo,13,0,0
1635078648588,264,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,157062,26133,7,7,null,0,2101,0
1635078650689,264,Open Post,200,OK,Editor script 1-5,text,true,,157062,26133,7,7,http://192.168.1.87/blog/post/o-sY1jId-GTpdkjIf9-cTi-j1,18,0,0
1635078648432,279,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,153149,9719,7,7,null,0,2316,4
1635078650747,279,Open Home Page,200,OK,Editor script 1-1,text,true,,153149,9719,7,7,http://192.168.1.87/blog/,34,0,4
1635078648647,329,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,153696,10942,7,7,null,0,2186,0
1635078650833,329,Log out,200,OK,Editor script 1-3,text,true,,153696,10942,7,7,http://192.168.1.87/blog/,64,0,0
1635078649614,185,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-6,,true,,157268,26133,7,7,null,0,2393,0
1635078652006,185,Open Post,200,OK,Editor script 1-6,text,true,,157268,26133,7,7,http://192.168.1.87/blog/post/o-sY1jId-GTpdkjIf9-cTi-j1,10,0,0
1635078649925,246,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,153223,9719,7,7,null,0,2396,2
1635078652320,246,Open Home Page,200,OK,Editor script 1-2,text,true,,153223,9719,7,7,http://192.168.1.87/blog/,29,0,2
1635078650171,261,Log out,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,153715,10942,7,7,null,0,2176,0
1635078652346,261,Log out,200,OK,Editor script 1-4,text,true,,153715,10942,7,7,http://192.168.1.87/blog/,23,0,0
1635078650134,230,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-7,,true,,154690,24888,7,7,null,0,2289,0
1635078652422,230,Open Predefined Date,200,OK,Editor script 1-7,text,true,,154690,24888,7,7,http://192.168.1.87/blog/2021/06/18/default,93,0,0
1635078650954,36,Edit Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,182,2012,7,7,null,0,2211,0
1635078653164,36,Edit Post,200,OK,Editor script 1-5,,true,,182,2012,7,7,http://192.168.1.87/blog/api/posts/update/foo,36,0,0
1635078651163,98,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,153216,9719,7,7,null,0,2199,0
1635078653362,98,Open Home Page,200,OK,Editor script 1-3,text,true,,153216,9719,7,7,http://192.168.1.87/blog/,17,0,0
1635078651027,138,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,161677,25934,7,7,null,0,2447,2
